Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Mathieu Gorgelin,GK,fr FRA,32.0,1,90,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Le Havre
Mathis Lambourde,FW,fr FRA,17.0,1,10,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Rennes
Mathys Tel,"FW,MF",fr FRA,18.0,30,1050,7,5,12,0.6,0.43,3.7,2.3,de Bundesliga,Bayern Munich
Mathías Olivera,DF,uy URU,25.0,23,1569,1,1,2,0.06,0.06,0.5,0.9,it Serie A,Napoli
Matias Arezo,FW,uy URU,20.0,14,369,0,0,0,0.0,0.0,1.2,0.1,es La Liga,Granada
Matija Nastasić,DF,rs SRB,30.0,26,2258,2,0,2,0.08,0.0,1.0,0.6,es La Liga,Mallorca
Mats Hummels,DF,de GER,34.0,25,1581,3,0,3,0.17,0.0,3.2,0.9,de Bundesliga,Dortmund
Matt Doherty,"DF,MF",ie IRL,31.0,30,1150,1,0,1,0.08,0.0,0.8,1.3,eng Premier League,Wolves
Matt Ritchie,"FW,MF",sct SCO,33.0,13,128,1,0,1,0.7,0.0,1.0,0.0,eng Premier League,Newcastle Utd
Matt Targett,DF,eng ENG,27.0,3,78,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Newcastle Utd
Matt Turner,GK,us USA,29.0,17,1530,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Nott'ham Forest
Matteo Cancellieri,"FW,MF",it ITA,21.0,36,1788,4,3,7,0.2,0.15,4.7,2.9,it Serie A,Empoli
Matteo Darmian,DF,it ITA,33.0,33,2404,2,1,3,0.07,0.04,1.2,1.8,it Serie A,Inter
Matteo Gabbia,DF,it ITA,23.0,25,1752,2,1,3,0.07,0.035,1.6,0.4,"it Serie A, es La Liga","Milan, Villarreal"
Matteo Lovato,DF,it ITA,23.0,26,1491,0,0,0,0.0,0.0,0.0,0.2,"it Serie A, it Serie A","Torino, Salernitana"
Matteo Perez Vinlöf,FW,se SWE,17.0,1,16,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Bayern Munich
Matteo Pessina,MF,it ITA,26.0,37,3222,6,3,9,0.17,0.08,6.3,1.1,it Serie A,Monza
Matteo Politano,FW,it ITA,29.0,37,2360,8,7,15,0.31,0.27,7.1,6.6,it Serie A,Napoli
Matteo Prati,MF,it ITA,19.0,26,1972,1,1,2,0.05,0.05,2.0,0.8,it Serie A,Cagliari
Matteo Ruggeri,DF,it ITA,21.0,34,2449,0,4,4,0.0,0.15,0.5,1.8,it Serie A,Atalanta
Matthias Bader,"DF,MF",de GER,26.0,24,1802,1,2,3,0.05,0.1,0.7,2.3,de Bundesliga,Darmstadt 98
Matthias Ginter,DF,de GER,29.0,23,1913,0,2,2,0.0,0.09,1.4,1.4,de Bundesliga,Freiburg
Matthieu Udol,DF,fr FRA,27.0,30,2700,3,3,6,0.1,0.1,1.4,3.1,fr Ligue 1,Metz
Matthijs de Ligt,DF,nl NED,23.0,22,1390,2,0,2,0.13,0.0,1.7,0.1,de Bundesliga,Bayern Munich
Matthis Abline,FW,fr FRA,20.0,22,1044,5,0,5,0.43,0.0,3.8,2.0,fr Ligue 1,Nantes
Mattia Bani,DF,it ITA,29.0,27,2306,2,0,2,0.08,0.0,1.2,0.1,it Serie A,Genoa
Mattia Caldara,DF,it ITA,29.0,1,33,0,0,0,0.0,0.0,0.2,0.0,it Serie A,Milan
Mattia De Sciglio,DF,it ITA,30.0,1,45,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Juventus
Mattia Destro,"FW,MF",it ITA,32.0,15,366,0,0,0,0.0,0.0,1.2,0.3,it Serie A,Empoli
Mattia Perin,GK,it ITA,30.0,3,225,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Juventus
Mattia Viti,DF,it ITA,21.0,15,979,1,0,1,0.09,0.0,1.0,0.0,it Serie A,Sassuolo
Mattia Zaccagni,"FW,MF",it ITA,28.0,28,1956,6,1,7,0.28,0.05,4.7,2.9,it Serie A,Lazio
Mattias Svanberg,MF,se SWE,24.0,25,1715,1,3,4,0.05,0.16,3.0,2.3,de Bundesliga,Wolfsburg
Matty Cash,DF,pl POL,25.0,29,2142,2,2,4,0.08,0.08,4.2,2.3,eng Premier League,Aston Villa
Mattéo Guendouzi,MF,fr FRA,24.0,35,2386,2,3,5,0.04,0.055,2.1,2.3,"it Serie A, fr Ligue 1","Lazio, Marseille"
Matz Sels,GK,be BEL,31.0,35,3150,0,0,0,0.0,0.0,0.0,0.6,"eng Premier League, fr Ligue 1","Nott'ham Forest, Strasbourg"
Matìas Soulé,"FW,MF",ar ARG,20.0,36,3121,11,3,14,0.32,0.09,10.5,6.6,it Serie A,Frosinone
Matías Vecino,MF,uy URU,31.0,31,1153,6,1,7,0.47,0.08,3.7,0.4,it Serie A,Lazio
Matías Viña,DF,uy URU,25.0,15,1014,0,3,3,0.0,0.27,0.3,1.4,it Serie A,Sassuolo
Matúš Bero,"MF,FW",sk SVK,27.0,24,1661,1,1,2,0.05,0.05,2.9,1.3,de Bundesliga,Bochum
Mauro Arambarri,MF,uy URU,27.0,7,339,0,0,0,0.0,0.0,0.5,0.0,es La Liga,Getafe
Max Aarons,DF,eng ENG,23.0,20,1237,0,1,1,0.0,0.07,0.0,0.8,eng Premier League,Bournemouth
Max Finkgräfe,"DF,FW",de GER,19.0,24,1756,1,0,1,0.05,0.0,1.0,1.6,de Bundesliga,Köln
Max Kilman,DF,eng ENG,26.0,38,3420,2,0,2,0.05,0.0,1.8,1.4,eng Premier League,Wolves
Max Lowe,"DF,MF",eng ENG,26.0,10,503,0,0,0,0.0,0.0,0.6,0.7,eng Premier League,Sheffield Utd
Maxence Caqueret,MF,fr FRA,23.0,34,3022,1,3,4,0.03,0.09,2.1,6.0,fr Ligue 1,Lyon
Maxence Lacroix,DF,fr FRA,23.0,28,2362,4,1,5,0.15,0.04,0.8,0.8,de Bundesliga,Wolfsburg
Maxi Gómez,FW,uy URU,26.0,31,1163,0,0,0,0.0,0.0,1.6,0.6,es La Liga,Cádiz
Maxim Leitsch,DF,de GER,25.0,7,379,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Mainz 05
Maxime Busi,"FW,DF",be BEL,23.0,5,162,0,0,0,0.0,0.0,0.2,0.2,fr Ligue 1,Reims
Maxime Colin,DF,fr FRA,31.0,22,1832,0,0,0,0.0,0.0,0.3,0.4,fr Ligue 1,Metz
