Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Eldor Shomurodov,"FW,MF",uz UZB,28.0,22,936,3,3,6,0.29,0.29,3.5,1.7,it Serie A,Cagliari
Eli Junior Kroupi,"FW,MF",fr FRA,17.0,30,1084,5,3,8,0.42,0.25,3.5,1.8,fr Ligue 1,Lorient
Elia Caprile,GK,it ITA,21.0,23,2070,0,0,0,0.0,0.0,0.0,0.3,it Serie A,Empoli
Elias Baum,"DF,MF",de GER,17.0,4,28,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Eint Frankfurt
Eliesse Ben Seghir,"MF,FW",ma MAR,18.0,13,428,2,1,3,0.42,0.21,0.8,0.5,fr Ligue 1,Monaco
Elif Elmas,"FW,MF",mk MKD,23.0,11,339,2,0,2,0.53,0.0,0.5,0.2,it Serie A,Napoli
Elif Elmas,"MF,FW",mk MKD,23.0,14,266,0,0,0,0.0,0.0,0.8,0.1,de Bundesliga,RB Leipzig
Elijah Adebayo,FW,eng ENG,25.0,27,1419,10,0,10,0.63,0.0,5.9,0.7,eng Premier League,Luton Town
Eliot Matazo,MF,be BEL,21.0,6,102,0,1,1,0.0,0.88,0.1,1.0,fr Ligue 1,Monaco
Elliot Anderson,"MF,FW",sct SCO,20.0,21,1027,0,2,2,0.0,0.18,1.5,1.9,eng Premier League,Newcastle Utd
Ellyes Skhiri,MF,tn TUN,28.0,27,2168,2,2,4,0.08,0.08,2.3,1.0,de Bundesliga,Eint Frankfurt
Elseid Hysaj,DF,al ALB,29.0,22,1199,0,0,0,0.0,0.0,0.2,0.4,it Serie A,Lazio
Elvis Rexhbeçaj,MF,de GER,25.0,25,1985,2,0,2,0.09,0.0,1.7,0.5,de Bundesliga,Augsburg
Elye Wahi,FW,fr FRA,20.0,28,1706,9,3,12,0.24,0.08,11.5,3.2,"fr Ligue 1, fr Ligue 1","Montpellier, Lens"
Emanuel Emegha,FW,nl NED,20.0,28,2078,8,1,9,0.35,0.04,10.8,0.4,fr Ligue 1,Strasbourg
Emanuel Vignato,"MF,FW",it ITA,22.0,9,311,0,1,1,0.0,0.29,0.0,0.3,it Serie A,Salernitana
Emanuele Valeri,DF,it ITA,24.0,16,1178,0,1,1,0.0,0.08,0.9,2.4,it Serie A,Frosinone
Emerson,DF,br BRA,24.0,22,1161,1,0,1,0.08,0.0,0.2,0.4,eng Premier League,Tottenham
Emerson Palmieri,DF,it ITA,28.0,36,3137,1,2,3,0.03,0.06,1.5,2.4,eng Premier League,West Ham
Emil Audero,GK,it ITA,26.0,4,337,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Inter
Emil Bohinen,MF,no NOR,24.0,17,591,0,0,0,0.0,0.0,0.1,0.30000000000000004,"it Serie A, it Serie A","Genoa, Salernitana"
Emil Ceide,"FW,MF",no NOR,21.0,11,176,0,0,0,0.0,0.0,0.1,0.2,it Serie A,Sassuolo
Emil Forsberg,"MF,FW",se SWE,31.0,14,464,2,1,3,0.39,0.19,1.4,0.9,de Bundesliga,RB Leipzig
Emil Holm,DF,se SWE,23.0,22,947,1,1,2,0.1,0.1,2.7,0.8,it Serie A,Atalanta
Emil Krafth,DF,se SWE,28.0,17,913,0,0,0,0.0,0.0,0.2,1.0,eng Premier League,Newcastle Utd
Emile Smith Rowe,MF,eng ENG,23.0,13,353,0,1,1,0.0,0.25,2.0,0.2,eng Premier League,Arsenal
Emiliano Martínez,GK,ar ARG,30.0,34,3015,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Aston Villa
Emir Karic,DF,at AUT,26.0,27,1783,0,0,0,0.0,0.0,0.4,1.3,de Bundesliga,Darmstadt 98
Emmanuel Agbadou,DF,ci CIV,26.0,32,2596,1,1,2,0.03,0.03,2.4,1.5,fr Ligue 1,Reims
Emmanuel Ekong,FW,se SWE,21.0,1,5,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Empoli
Emmanuel Gyasi,"DF,FW",gh GHA,29.0,33,1879,1,2,3,0.05,0.1,3.5,1.5,it Serie A,Empoli
Emmanuel Sabbi,"FW,MF",us USA,25.0,30,1584,5,1,6,0.28,0.06,4.1,1.4,fr Ligue 1,Le Havre
Emran Soglo,"MF,DF",eng ENG,18.0,3,109,1,1,2,0.83,0.83,0.1,0.2,fr Ligue 1,Marseille
Emre Can,"MF,DF",de GER,29.0,25,1953,2,2,4,0.09,0.09,2.2,1.5,de Bundesliga,Dortmund
Eneko Ortiz,DF,es ESP,20.0,1,14,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Alavés
Enes Ünal,"FW,MF",tr TUR,26.0,19,468,2,3,5,0.275,0.595,3.0,1.4,"eng Premier League, es La Liga","Bournemouth, Getafe"
Enso Gonzalez,"MF,DF",py PAR,18.0,1,1,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Wolves
Enzo Barrenechea,MF,ar ARG,22.0,36,2811,0,1,1,0.0,0.03,0.6,1.7,it Serie A,Frosinone
Enzo Ebosse,DF,cm CMR,24.0,1,8,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Udinese
Enzo Fernández,MF,ar ARG,22.0,28,2209,3,2,5,0.12,0.08,6.2,3.4,eng Premier League,Chelsea
Enzo Le Fée,MF,fr FRA,23.0,25,1527,0,1,1,0.0,0.06,0.5,1.8,fr Ligue 1,Rennes
Enzo Loiodice,MF,fr FRA,22.0,34,1790,0,1,1,0.0,0.05,0.5,1.3,es La Liga,Las Palmas
Enzo Millot,"MF,FW",fr FRA,21.0,31,2241,5,4,9,0.2,0.16,5.3,3.9,de Bundesliga,Stuttgart
Enzo Mongo,DF,fr FRA,18.0,1,10,0,0,0,0.0,0.0,0.0,0.0,fr Ligue 1,Nantes
Enzo Tchato,DF,cm CMR,20.0,17,1125,0,0,0,0.0,0.0,0.3,0.3,fr Ligue 1,Montpellier
Eray Cömert,DF,ch SUI,25.0,25,1995,2,0,2,0.09,0.0,0.7,0.2,fr Ligue 1,Nantes
Eren Dinkçi,"FW,MF",de GER,21.0,33,2650,10,5,15,0.34,0.17,4.3,3.7,de Bundesliga,Heidenheim
Erhan Mašović,"DF,MF",rs SRB,24.0,29,2219,0,0,0,0.0,0.0,1.1,0.3,de Bundesliga,Bochum
Eric Bailly,DF,ci CIV,29.0,10,839,0,0,0,0.0,0.0,0.2,0.0,es La Liga,Villarreal
Eric Curbelo,"DF,MF",es ESP,29.0,2,102,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Las Palmas
Eric Dier,DF,eng ENG,29.0,19,1367,0,0,0,0.0,0.0,0.7,0.1,"eng Premier League, de Bundesliga","Tottenham, Bayern Munich"
Eric García,DF,es ESP,22.0,32,2694,5,0,5,0.085,0.0,2.8,0.5,"es La Liga, es La Liga","Barcelona, Girona"
Eric Martel,MF,de GER,21.0,30,2457,1,1,2,0.04,0.04,2.2,1.1,de Bundesliga,Köln
Eric Maxim Choupo-Moting,"MF,FW",cm CMR,34.0,27,717,2,2,4,0.25,0.25,4.5,1.8,de Bundesliga,Bayern Munich
Erik Botheim,"FW,MF",no NOR,23.0,7,316,0,0,0,0.0,0.0,0.1,0.0,it Serie A,Salernitana
Erling Haaland,FW,no NOR,23.0,31,2552,27,5,32,0.95,0.18,29.2,4.3,eng Premier League,Manchester City
Ermedin Demirović,"FW,MF",ba BIH,25.0,33,2873,15,9,24,0.47,0.28,13.5,3.9,de Bundesliga,Augsburg
Ernest Nuamah,"FW,MF",gh GHA,19.0,29,1838,3,2,5,0.15,0.1,4.0,3.8,fr Ligue 1,Lyon
Ethan Mbappé,"MF,DF",fr FRA,16.0,3,48,0,0,0,0.0,0.0,0.1,0.0,fr Ligue 1,Paris S-G
Ethan Nwaneri,FW,eng ENG,16.0,1,14,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Arsenal
Ethan Pinnock,DF,jm JAM,30.0,29,2521,2,0,2,0.07,0.0,2.0,1.0,eng Premier League,Brentford
Ethan Wheatley,FW,eng ENG,17.0,3,16,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Manchester Utd
Etienne Youte Kinkoue,DF,fr FRA,21.0,22,1941,0,0,0,0.0,0.0,0.4,0.1,fr Ligue 1,Le Havre
Etrit Berisha,GK,al ALB,34.0,14,1260,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Empoli
Evan Ferguson,FW,ie IRL,18.0,27,1367,6,0,6,0.4,0.0,4.6,0.5,eng Premier League,Brighton
Evann Guessand,FW,ci CIV,22.0,34,1553,6,0,6,0.35,0.0,8.4,1.4,fr Ligue 1,Nice
Exequiel Palacios,MF,ar ARG,24.0,24,1831,4,4,8,0.2,0.2,3.3,3.8,de Bundesliga,Leverkusen
Ezequiel Ávila,FW,ar ARG,29.0,6,298,1,0,1,0.3,0.0,0.7,0.1,es La Liga,Betis
Ezequiel Ávila,"FW,MF",ar ARG,29.0,17,864,1,3,4,0.1,0.31,2.0,2.3,es La Liga,Osasuna
Ezri Konsa,DF,eng ENG,25.0,35,3069,1,0,1,0.03,0.0,2.5,0.5,eng Premier League,Aston Villa
Fabian Bredlow,GK,de GER,28.0,4,360,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Stuttgart
Fabian Holland,"MF,DF",de GER,33.0,23,1835,0,2,2,0.0,0.1,0.6,1.5,de Bundesliga,Darmstadt 98
Fabian Nürnberger,"DF,MF",de GER,24.0,21,1513,1,1,2,0.06,0.06,0.9,2.0,de Bundesliga,Darmstadt 98
Fabian Rieder,MF,ch SUI,21.0,15,365,1,0,1,0.25,0.0,0.3,0.6,fr Ligue 1,Rennes
Fabian Rüdlin,MF,de GER,26.0,1,7,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Freiburg
Fabian Schnellhardt,MF,de GER,29.0,10,235,0,0,0,0.0,0.0,0.2,0.1,de Bundesliga,Darmstadt 98
Fabian Schär,DF,ch SUI,31.0,36,3054,4,1,5,0.12,0.03,2.5,0.7,eng Premier League,Newcastle Utd
Fabiano Parisi,DF,it ITA,22.0,21,1454,0,1,1,0.0,0.06,0.9,2.4,it Serie A,Fiorentina
Fabien Centonze,DF,fr FRA,27.0,13,770,0,1,1,0.0,0.065,0.0,1.0,"it Serie A, fr Ligue 1","Hellas Verona, Nantes"
Fabio Carvalho,MF,pt POR,20.0,9,165,0,0,0,0.0,0.0,0.2,0.2,de Bundesliga,RB Leipzig
Fabio Chiarodia,DF,it ITA,18.0,7,152,0,0,0,0.0,0.0,0.0,0.1,de Bundesliga,Gladbach
Fabio González,MF,es ESP,26.0,6,123,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Las Palmas
Fabio Miretti,MF,it ITA,19.0,25,1103,1,1,2,0.08,0.08,1.2,1.1,it Serie A,Juventus
Fabio Torsiello,"FW,DF",it ITA,18.0,10,156,0,0,0,0.0,0.0,0.3,0.0,de Bundesliga,Darmstadt 98
Fabio Vieira,"MF,FW",pt POR,23.0,11,297,1,2,3,0.3,0.61,1.3,1.6,eng Premier League,Arsenal
Fabián Ruiz Peña,MF,es ESP,27.0,21,1197,1,3,4,0.08,0.23,2.0,1.2,fr Ligue 1,Paris S-G
Fabrizio Angileri,"DF,MF",ar ARG,29.0,11,164,0,0,0,0.0,0.0,0.0,1.3,es La Liga,Getafe
Facundo Buonanotte,"FW,MF",ar ARG,18.0,27,1364,3,1,4,0.2,0.07,2.4,1.8,eng Premier League,Brighton
Facundo Medina,DF,ar ARG,24.0,31,2714,1,3,4,0.03,0.1,1.1,1.8,fr Ligue 1,Lens
Facundo Pellistri,"FW,MF",uy URU,21.0,9,172,0,1,1,0.0,0.52,0.7,0.1,eng Premier League,Manchester Utd
Facundo Pellistri,"MF,FW",uy URU,21.0,15,1232,2,1,3,0.15,0.07,2.5,1.2,es La Liga,Granada
Faitout Maouassa,"DF,MF",fr FRA,25.0,6,229,0,1,1,0.0,0.39,0.2,0.5,es La Liga,Granada
Faitout Maouassa,"MF,DF",fr FRA,25.0,3,76,0,0,0,0.0,0.0,0.1,0.1,fr Ligue 1,Lens
Falaye Sacko,DF,ml MLI,28.0,19,1382,0,1,1,0.0,0.07,0.0,0.4,fr Ligue 1,Montpellier
Fali,DF,es ESP,29.0,30,2547,0,0,0,0.0,0.0,0.8,0.1,es La Liga,Cádiz
Fali Candé,DF,gw GNB,25.0,25,1849,0,1,1,0.0,0.05,0.8,0.5,fr Ligue 1,Metz
Famara Diedhiou,"FW,MF",sn SEN,30.0,8,89,0,1,1,0.0,1.01,0.5,0.2,es La Liga,Granada
Fares Chaïbi,"FW,MF",dz ALG,20.0,2,58,0,1,1,0.0,1.55,0.0,0.2,fr Ligue 1,Toulouse
Fares Chaïbi,"MF,FW",dz ALG,20.0,28,1912,2,4,6,0.09,0.19,3.1,6.8,de Bundesliga,Eint Frankfurt
Faride Alidou,"FW,MF",de GER,22.0,26,1282,4,0,4,0.28,0.0,3.0,0.6,de Bundesliga,Köln
Faris Pemi Moumbagna,FW,cm CMR,23.0,13,547,3,1,4,0.49,0.16,1.7,1.1,fr Ligue 1,Marseille
Farés Ghedjemis,"FW,MF",fr FRA,20.0,6,182,0,0,0,0.0,0.0,0.1,0.1,it Serie A,Frosinone
Fede San Emeterio,MF,es ESP,26.0,4,152,1,0,1,0.59,0.0,0.1,0.1,es La Liga,Cádiz
Federico Baschirotto,DF,it ITA,26.0,37,3294,0,1,1,0.0,0.03,1.7,0.7,it Serie A,Lecce
Federico Bonazzoli,"FW,MF",it ITA,26.0,24,1016,3,1,4,0.27,0.09,2.9,1.1,it Serie A,Hellas Verona
Federico Chiesa,FW,it ITA,25.0,33,2197,9,2,11,0.37,0.08,6.4,6.2,it Serie A,Juventus
Federico Di Francesco,"FW,MF",it ITA,29.0,2,15,1,0,1,6.0,0.0,0.1,0.0,it Serie A,Lecce
Federico Dimarco,DF,it ITA,25.0,30,2077,5,6,11,0.22,0.26,2.9,8.5,it Serie A,Inter
Federico Fazio,DF,ar ARG,36.0,17,1355,1,0,1,0.07,0.0,0.4,0.1,it Serie A,Salernitana
Federico Gatti,DF,it ITA,25.0,32,2637,4,0,4,0.14,0.0,5.5,1.5,it Serie A,Juventus
Federico Gattoni,"DF,FW",ar ARG,24.0,2,10,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Sevilla
Federico Ravaglia,GK,it ITA,23.0,6,535,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Bologna
Federico Valverde,MF,uy URU,25.0,37,2904,2,7,9,0.06,0.22,3.5,5.8,es La Liga,Real Madrid
Felipe,DF,br BRA,34.0,7,375,0,0,0,0.0,0.0,0.1,0.1,eng Premier League,Nott'ham Forest
Felipe Anderson,"FW,MF",br BRA,30.0,38,2770,5,6,11,0.16,0.19,4.4,6.3,it Serie A,Lazio
Felix Agu,"DF,MF",de GER,23.0,24,1614,0,0,0,0.0,0.0,0.9,0.6,de Bundesliga,Werder Bremen
Felix Nmecha,MF,de GER,22.0,20,1021,1,2,3,0.09,0.18,1.7,0.9,de Bundesliga,Dortmund
Felix Passlack,DF,de GER,25.0,15,960,2,2,4,0.19,0.19,0.9,1.2,de Bundesliga,Bochum
Ferland Mendy,DF,fr FRA,28.0,23,1720,0,0,0,0.0,0.0,0.2,0.9,es La Liga,Real Madrid
Fermin López,"MF,FW",es ESP,20.0,31,1446,8,0,8,0.5,0.0,7.5,1.1,es La Liga,Barcelona
Fernando,MF,br BRA,36.0,8,459,0,0,0,0.0,0.0,0.0,0.3,es La Liga,Sevilla
Fernando,GK,es ESP,33.0,4,360,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Almería
Ferrán Torres,FW,es ESP,23.0,29,1211,7,2,9,0.52,0.15,5.5,2.7,es La Liga,Barcelona
Festy Ebosele,DF,ie IRL,20.0,31,1700,0,0,0,0.0,0.0,0.8,1.8,it Serie A,Udinese
Fikayo Tomori,DF,eng ENG,25.0,26,2121,4,0,4,0.17,0.0,3.7,0.2,it Serie A,Milan
Filip Jagiełło,MF,pl POL,25.0,2,33,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Genoa
Filip Jørgensen,GK,dk DEN,21.0,36,3240,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Villarreal
Filip Kostić,DF,rs SRB,30.0,29,1815,0,4,4,0.0,0.2,0.7,5.4,it Serie A,Juventus
Filip Stojilković,"FW,MF",ch SUI,23.0,6,154,0,0,0,0.0,0.0,0.2,0.0,de Bundesliga,Darmstadt 98
Filippo Missori,DF,it ITA,19.0,8,266,0,0,0,0.0,0.0,0.3,0.0,it Serie A,Sassuolo
Filippo Ranocchia,"MF,DF",it ITA,22.0,9,476,0,0,0,0.0,0.0,0.2,0.5,it Serie A,Empoli
Filippo Terracciano,DF,it ITA,20.0,18,1296,0,1,1,0.0,0.07,0.3,1.0,it Serie A,Hellas Verona
Filippo Terracciano,"DF,FW",it ITA,20.0,3,76,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Milan
Finley Munroe,MF,eng ENG,18.0,1,4,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Aston Villa
Finn Dahmen,GK,de GER,25.0,31,2790,0,0,0,0.0,0.0,0.0,0.1,de Bundesliga,Augsburg
Finn Ole Becker,MF,de GER,23.0,22,606,0,0,0,0.0,0.0,0.2,0.4,de Bundesliga,Hoffenheim
Flavius Daniliuc,DF,at AUT,22.0,14,744,0,0,0,0.0,0.0,0.2,0.2,it Serie A,Salernitana
Florent Mollet,"MF,FW",fr FRA,31.0,29,2083,4,4,8,0.17,0.17,5.9,2.5,fr Ligue 1,Nantes
Florent Muslija,"MF,FW",xk KVX,25.0,10,105,0,0,0,0.0,0.0,0.1,0.6,de Bundesliga,Freiburg
Florent Ogier,DF,fr FRA,34.0,14,943,1,1,2,0.1,0.1,0.6,0.5,fr Ligue 1,Clermont Foot
Florian Dietz,"FW,MF",de GER,24.0,5,70,0,0,0,0.0,0.0,0.3,0.1,de Bundesliga,Köln
Florian Grillitsch,"DF,MF",at AUT,27.0,30,2295,1,6,7,0.04,0.24,1.2,1.7,de Bundesliga,Hoffenheim
Florian Kainz,"MF,FW",at AUT,30.0,33,2197,5,4,9,0.2,0.16,5.0,3.3,de Bundesliga,Köln
Florian Lejeune,DF,fr FRA,32.0,37,3327,3,1,4,0.08,0.03,3.3,0.7,es La Liga,Rayo Vallecano
Florian Neuhaus,MF,de GER,26.0,25,1224,4,2,6,0.29,0.15,4.3,1.8,de Bundesliga,Gladbach
Florian Pick,"MF,FW",de GER,27.0,22,327,0,1,1,0.0,0.28,0.3,0.8,de Bundesliga,Heidenheim
Florian Sotoca,"MF,FW",fr FRA,32.0,32,2598,7,6,13,0.24,0.21,9.1,6.5,fr Ligue 1,Lens
Florian Thauvin,FW,fr FRA,30.0,29,1710,5,3,8,0.26,0.16,4.7,4.2,it Serie A,Udinese
Florian Wirtz,MF,de GER,20.0,32,2372,11,11,22,0.42,0.42,8.9,7.5,de Bundesliga,Leverkusen
Fodé Ballo-Touré,"DF,MF",sn SEN,26.0,6,71,0,0,0,0.0,0.0,0.0,0.0,eng Premier League,Fulham
Folarin Balogun,FW,us USA,22.0,29,1692,7,5,12,0.37,0.27,11.0,3.3,fr Ligue 1,Monaco
Formose Mendy,DF,sn SEN,22.0,18,1256,0,0,0,0.0,0.0,0.3,0.1,fr Ligue 1,Lorient
Fran Beltrán,MF,es ESP,24.0,33,2428,0,0,0,0.0,0.0,0.7,1.1,es La Liga,Celta Vigo
Fran Garcia,DF,es ESP,23.0,25,1398,1,5,6,0.06,0.32,0.5,2.4,es La Liga,Real Madrid
Fran Vieites,GK,es ESP,24.0,4,315,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Betis
Francesco Acerbi,DF,it ITA,35.0,29,2388,3,1,4,0.11,0.04,1.6,1.8,it Serie A,Inter
Francesco Camarda,FW,it ITA,15.0,2,14,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Milan
Francesco Caputo,FW,it ITA,35.0,20,1268,3,0,3,0.21,0.0,3.4,0.7,it Serie A,Empoli
Francesco Gelli,"MF,DF",it ITA,26.0,27,1561,0,0,0,0.0,0.0,0.7,2.4,it Serie A,Frosinone
Francesco Rossi,GK,it ITA,32.0,1,5,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Atalanta
Francis Coquelin,MF,fr FRA,32.0,17,910,0,0,0,0.0,0.0,0.1,0.1,es La Liga,Villarreal
Francisco Jesús Crespo García,FW,es ESP,27.0,17,504,2,0,2,0.36,0.0,1.3,0.6,es La Liga,Las Palmas
Francisco Perez,"MF,FW",es ESP,20.0,32,2049,1,4,5,0.04,0.18,1.1,2.6,es La Liga,Valencia
Franck Honorat,"DF,FW",fr FRA,26.0,32,2345,3,9,12,0.12,0.35,1.6,9.3,de Bundesliga,Gladbach
Franco Cervi,"MF,DF",ar ARG,29.0,17,546,0,1,1,0.0,0.16,0.5,2.0,es La Liga,Celta Vigo
Frank Magri,"FW,MF",cm CMR,23.0,29,1438,5,2,7,0.31,0.13,3.1,1.6,fr Ligue 1,Toulouse
Frank Onyeka,MF,ng NGA,25.0,26,1161,1,2,3,0.08,0.16,2.2,1.8,eng Premier League,Brentford
Frank Ronstadt,"DF,MF",de GER,26.0,4,76,0,0,0,0.0,0.0,0.1,0.1,de Bundesliga,Darmstadt 98
Frans Krätzig,DF,de GER,20.0,4,56,0,0,0,0.0,0.0,0.3,0.3,de Bundesliga,Bayern Munich
François Mughe,"MF,DF",cm CMR,19.0,5,177,0,0,0,0.0,0.0,0.1,0.1,fr Ligue 1,Marseille
Fraser Hornby,"FW,MF",sct SCO,23.0,7,217,0,0,0,0.0,0.0,0.7,0.3,de Bundesliga,Darmstadt 98
Fred Onyedinma,"DF,MF",eng ENG,26.0,8,407,0,0,0,0.0,0.0,0.2,0.1,eng Premier League,Luton Town
Frederic Guilbert,"DF,MF",fr FRA,28.0,32,2490,2,0,2,0.07,0.0,1.1,1.6,fr Ligue 1,Strasbourg
Frederik Rønnow,GK,dk DEN,30.0,33,2970,0,0,0,0.0,0.0,0.1,0.1,de Bundesliga,Union Berlin
Fredrik Jensen,"MF,FW",fi FIN,25.0,22,1338,2,4,6,0.13,0.27,0.9,4.3,de Bundesliga,Augsburg
Frenkie de Jong,MF,nl NED,26.0,20,1634,2,0,2,0.11,0.0,0.7,2.2,es La Liga,Barcelona
Fábio Silva,FW,pt POR,21.0,8,264,0,0,0,0.0,0.0,1.0,0.2,eng Premier League,Wolves
Gabriel Gudmundsson,"DF,FW",se SWE,24.0,25,1267,1,0,1,0.07,0.0,1.1,1.2,fr Ligue 1,Lille
Gabriel Jesus,FW,br BRA,26.0,27,1478,4,5,9,0.24,0.3,6.3,3.8,eng Premier League,Arsenal
Gabriel Magalhães,DF,br BRA,25.0,36,3044,4,0,4,0.12,0.0,4.3,0.7,eng Premier League,Arsenal
Gabriel Martinelli,FW,br BRA,22.0,35,2019,6,4,10,0.27,0.18,6.8,6.1,eng Premier League,Arsenal
Gabriel Osho,DF,ng NGA,24.0,21,1846,2,0,2,0.1,0.0,1.1,0.1,eng Premier League,Luton Town
Gabriel Paulista,DF,br BRA,32.0,23,1803,0,0,0,0.0,0.0,0.6000000000000001,0.30000000000000004,"es La Liga, es La Liga","Atlético Madrid, Valencia"
Gabriel Strefezza,FW,br BRA,26.0,19,1112,1,0,1,0.08,0.0,2.5,1.2,it Serie A,Lecce
Gabriel Suazo,DF,cl CHI,25.0,31,2357,0,4,4,0.0,0.15,0.7,3.0,fr Ligue 1,Toulouse
Gabriel Veiga,FW,es ESP,21.0,1,18,0,0,0,0.0,0.0,0.0,0.0,es La Liga,Celta Vigo
Gabriele Zappa,DF,it ITA,23.0,38,2561,1,3,4,0.04,0.11,1.5,3.3,it Serie A,Cagliari
Gaetano Castrovilli,"FW,MF",it ITA,26.0,6,367,1,2,3,0.25,0.49,0.3,0.6,it Serie A,Fiorentina
Gaetano Oristanio,"FW,MF",it ITA,20.0,25,1104,2,1,3,0.16,0.08,1.8,1.1,it Serie A,Cagliari
Gastón Álvarez,DF,uy URU,23.0,34,2537,2,0,2,0.07,0.0,0.7,0.6,es La Liga,Getafe
Gautier Lloris,DF,fr FRA,28.0,31,2778,2,0,2,0.06,0.0,2.1,0.2,fr Ligue 1,Le Havre
Gavi,"MF,FW",es ESP,18.0,12,944,1,1,2,0.1,0.1,0.9,1.1,es La Liga,Barcelona
Gaëtan Laborde,"FW,MF",fr FRA,29.0,34,1906,5,2,7,0.24,0.09,7.7,1.8,fr Ligue 1,Nice
Gedeon Kalulu,DF,cd COD,25.0,19,970,0,1,1,0.0,0.09,0.3,1.1,fr Ligue 1,Lorient
Gelabert,"MF,FW",es ESP,22.0,16,754,1,2,3,0.12,0.24,0.8,1.3,fr Ligue 1,Toulouse
Genki Haraguchi,MF,jp JPN,32.0,2,27,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Stuttgart
Gennaro Borrelli,FW,it ITA,23.0,1,24,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Frosinone
Geoffrey Kondogbia,MF,cf CTA,30.0,26,1463,0,0,0,0.0,0.0,0.4,0.5,fr Ligue 1,Marseille
George Baldock,DF,gr GRE,30.0,13,969,0,1,1,0.0,0.09,0.0,0.8,eng Premier League,Sheffield Utd
George Earthy,FW,eng ENG,18.0,3,34,1,0,1,2.65,0.0,0.3,0.0,eng Premier League,West Ham
George Pușcaș,FW,ro ROU,27.0,8,191,0,0,0,0.0,0.0,2.1,0.1,it Serie A,Genoa
Georges Mikautadze,FW,ge GEO,22.0,20,1747,13,4,17,0.67,0.21,9.5,2.4,fr Ligue 1,Metz
Gerard Gumbau,MF,es ESP,28.0,35,2674,0,3,3,0.0,0.1,1.8,4.0,es La Liga,Granada
Gerard Moreno,FW,es ESP,31.0,30,2215,10,6,16,0.41,0.24,9.7,5.3,es La Liga,Villarreal
Gerardo Fusco,FW,it ITA,18.0,1,15,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Salernitana
Germán Pezzella,DF,ar ARG,32.0,32,2767,1,0,1,0.03,0.0,2.0,0.3,es La Liga,Betis
Gerrit Holtmann,"MF,FW",ph PHI,28.0,10,392,0,0,0,0.0,0.0,0.6,0.3,de Bundesliga,Darmstadt 98
Gerzino Nyamsi,DF,fr FRA,26.0,13,1092,0,0,0,0.0,0.0,0.3,0.2,fr Ligue 1,Strasbourg
Giacomo Bonaventura,MF,it ITA,33.0,31,2277,8,3,11,0.32,0.12,5.7,3.6,it Serie A,Fiorentina
Giacomo Corona,FW,it ITA,19.0,1,5,0,0,0,0.0,0.0,0.0,0.0,it Serie A,Empoli
Giacomo Raspadori,"FW,MF",it ITA,23.0,37,1584,5,3,8,0.28,0.17,5.9,4.0,it Serie A,Napoli
Gian Marco Ferrari,DF,it ITA,31.0,31,2272,1,0,1,0.04,0.0,1.6,0.3,it Serie A,Sassuolo
Giangiacomo Magnani,DF,it ITA,27.0,33,2444,0,0,0,0.0,0.0,0.5,0.2,it Serie A,Hellas Verona
Gianluca Caprari,"MF,FW",it ITA,30.0,6,285,0,0,0,0.0,0.0,0.7,0.7,it Serie A,Monza
Gianluca Gaetano,"FW,MF",it ITA,23.0,11,745,4,1,5,0.48,0.12,1.3,1.3,it Serie A,Cagliari
Gianluca Gaetano,MF,it ITA,23.0,9,161,1,0,1,0.56,0.0,0.6,0.5,it Serie A,Napoli
Gianluca Lapadula,FW,pe PER,33.0,23,1205,3,1,4,0.22,0.07,4.8,1.1,it Serie A,Cagliari
Gianluca Mancini,DF,it ITA,27.0,36,2869,4,1,5,0.13,0.03,1.9,1.1,it Serie A,Roma
Gianluca Scamacca,FW,it ITA,24.0,29,1453,12,6,18,0.74,0.37,6.5,3.9,it Serie A,Atalanta
